書名,書籍網址,作者,出版社,ISBN,圖片網址
資料庫系統理論與應用: 使用SQL Server+Access (附範例光碟),https://www.eslite.com/product/1001122982843282,陳會安,全華圖書股份有限公司,9789865033644,https://s.eslite.dev/upload/product/l/2681877772009/20200501034913039281.jpg
優化SQL: 語法與資料庫的最佳化應用,https://www.eslite.com/product/1001113692802224,羅炳森/ 黃超/ 鐘僥,碁峰資訊股份有限公司,9789865023065,https://s.eslite.dev/Upload/Product/201910/l/637068983873012500.jpg
SQL達人的工作現場攻略筆記,https://www.eslite.com/product/1001113692798302,ミック,碁峰資訊股份有限公司,9789865022730,https://s.eslite.dev/Upload/Product/201910/l/637056886416702500.jpg
資料庫系統理論與實務: 使用SQL Server 2016 (第2版),https://www.eslite.com/product/1001299212690880,李紹綸,上奇資訊,9789865002183,https://s.eslite.dev/upload/product/l/2681599671000/798403.jpg
SQL Server 2017/2016資料庫設計與開發實務,https://www.eslite.com/product/1001113692677186,陳會安,碁峰資訊股份有限公司,9789864767816,https://s.eslite.dev/Upload/Product/201805/l/636617110081116764.jpg
大數據分析之資料庫理論與實務 (SQL Server 2017版),https://www.eslite.com/product/1001121992668831,曾守正/ 周韻寰,華泰文化事業股份有限公司,9789574353583,https://s.eslite.dev/upload/product/l/2681568306001/773834.jpg
資料庫系統理論與實務: 使用SQL Server 2012 (第2版/附光碟),https://www.eslite.com/product/1001299212614505,李紹綸,上奇資訊,9789869515627,https://s.eslite.dev/Upload/Product/201708/l/636373460573606250.jpg
SQL Server資料採礦與商業智慧: 適用SQL Server 2016/ 2014 (第2版),https://www.eslite.com/product/1001113692567423,謝邦昌,碁峰資訊股份有限公司,9789864762873,https://s.eslite.dev/upload/product/l/2681418705008/ec1246483.jpg
最親切的SQL入門教室,https://www.eslite.com/product/1001113692873392,矢沢久雄,碁峰資訊股份有限公司,9789865026004,https://s.eslite.dev/upload/product/l/2681919748009/20200908033402653032.jpg
"SQL語法查詢入門: 挖掘數據真相, 征服大數據時代的第一本書",https://www.eslite.com/product/1001113692758230,Anthony DeBarros,碁峰資訊股份有限公司,9789865020989,https://s.eslite.dev/Upload/Product/201911/l/637100195678422500.jpg
大數據時代一定要會的SQL商業資料分析術,https://www.eslite.com/product/1001113882676698,加嵜長門/ 田宮直人,旗標科技股份有限公司,9789863125150,https://s.eslite.dev/Upload/Product/201805/l/636616246047820000.jpg
Effective SQL中文版: 寫出良好SQL的61個具體做法,https://www.eslite.com/product/1001113692596518,John L. Viescas/ Douglas J. Steele/ Ben G. Clothier,碁峰資訊股份有限公司,9789864764358,https://s.eslite.dev/upload/product/l/2681460955000/682852.jpg
圖解SQL查詢的基礎知識: 以MySQL為例,https://www.eslite.com/product/1001113692682027694004,坂下夕里,碁峰資訊股份有限公司,9789865028602,https://s.eslite.dev/upload/product/l/2682027694004/20210607142640579292.jpg
SQL語法手冊 (第二版),https://www.eslite.com/product/1001133101824055,Kevin E. Kline / Daniel Kline / Brand Hunt,美商歐萊禮股份有限公司台灣分公司,9789867794857,0
從零開始! 邁向數據分析SQL資料庫語法入門,https://www.eslite.com/product/1001113882685046,ミック (Mick),旗標科技股份有限公司,9789863124498,https://s.eslite.dev/Upload/Product/201806/l/636637845219791250.jpg
最新SQL語法範例字典,https://www.eslite.com/product/1001113882642124,朝井淳,旗標科技股份有限公司,9789863124955,https://s.eslite.dev/Upload/Product/201712/l/636477142981190000.jpg
新SQL基礎講座 (增訂2版),https://www.eslite.com/product/1001120321766470,小野哲/ 藤本亮,博碩文化股份有限公司,9789862010983,https://s.eslite.dev/upload/product/l/2680329078003/ec269169.jpg
SQL之美學,https://www.eslite.com/product/1001133101663645,"Robson, Peter/ Faroult, Stephane",美商歐萊禮股份有限公司台灣分公司,9789867794901,0
SQL學習手冊,https://www.eslite.com/product/1001133101595243,"Beaulieu, Alan",美商歐萊禮股份有限公司台灣分公司,9789867794819,0
SQL Server 2019 /2017資料庫設計與開發實務,https://www.eslite.com/product/1001113692839064,陳會安,碁峰資訊股份有限公司,9789865024727,https://s.eslite.dev/upload/product/l/2681871079005/20200414033019290198.jpg
資料庫系統理論與應用: 使用SQL Server+Access (附範例光碟),https://www.eslite.com/product/1001122982843282,陳會安,全華圖書股份有限公司,9789865033644,https://s.eslite.dev/upload/product/l/2681877772009/20200501034913039281.jpg
優化SQL: 語法與資料庫的最佳化應用,https://www.eslite.com/product/1001113692802224,羅炳森/ 黃超/ 鐘僥,碁峰資訊股份有限公司,9789865023065,https://s.eslite.dev/Upload/Product/201910/l/637068983873012500.jpg
SQL達人的工作現場攻略筆記,https://www.eslite.com/product/1001113692798302,ミック,碁峰資訊股份有限公司,9789865022730,https://s.eslite.dev/Upload/Product/201910/l/637056886416702500.jpg
資料庫系統理論與實務: 使用SQL Server 2016 (第2版),https://www.eslite.com/product/1001299212690880,李紹綸,上奇資訊,9789865002183,https://s.eslite.dev/upload/product/l/2681599671000/798403.jpg
SQL Server 2017/2016資料庫設計與開發實務,https://www.eslite.com/product/1001113692677186,陳會安,碁峰資訊股份有限公司,9789864767816,https://s.eslite.dev/Upload/Product/201805/l/636617110081116764.jpg
大數據分析之資料庫理論與實務 (SQL Server 2017版),https://www.eslite.com/product/1001121992668831,曾守正/ 周韻寰,華泰文化事業股份有限公司,9789574353583,https://s.eslite.dev/upload/product/l/2681568306001/773834.jpg
資料庫系統理論與實務: 使用SQL Server 2012 (第2版/附光碟),https://www.eslite.com/product/1001299212614505,李紹綸,上奇資訊,9789869515627,https://s.eslite.dev/Upload/Product/201708/l/636373460573606250.jpg
SQL Server資料採礦與商業智慧: 適用SQL Server 2016/ 2014 (第2版),https://www.eslite.com/product/1001113692567423,謝邦昌,碁峰資訊股份有限公司,9789864762873,https://s.eslite.dev/upload/product/l/2681418705008/ec1246483.jpg
最親切的SQL入門教室,https://www.eslite.com/product/1001113692873392,矢沢久雄,碁峰資訊股份有限公司,9789865026004,https://s.eslite.dev/upload/product/l/2681919748009/20200908033402653032.jpg
"SQL語法查詢入門: 挖掘數據真相, 征服大數據時代的第一本書",https://www.eslite.com/product/1001113692758230,Anthony DeBarros,碁峰資訊股份有限公司,9789865020989,https://s.eslite.dev/Upload/Product/201911/l/637100195678422500.jpg
大數據時代一定要會的SQL商業資料分析術,https://www.eslite.com/product/1001113882676698,加嵜長門/ 田宮直人,旗標科技股份有限公司,9789863125150,https://s.eslite.dev/Upload/Product/201805/l/636616246047820000.jpg
Effective SQL中文版: 寫出良好SQL的61個具體做法,https://www.eslite.com/product/1001113692596518,John L. Viescas/ Douglas J. Steele/ Ben G. Clothier,碁峰資訊股份有限公司,9789864764358,https://s.eslite.dev/upload/product/l/2681460955000/682852.jpg
圖解SQL查詢的基礎知識: 以MySQL為例,https://www.eslite.com/product/1001113692682027694004,坂下夕里,碁峰資訊股份有限公司,9789865028602,https://s.eslite.dev/upload/product/l/2682027694004/20210607142640579292.jpg
SQL語法手冊 (第二版),https://www.eslite.com/product/1001133101824055,Kevin E. Kline / Daniel Kline / Brand Hunt,美商歐萊禮股份有限公司台灣分公司,9789867794857,0
從零開始! 邁向數據分析SQL資料庫語法入門,https://www.eslite.com/product/1001113882685046,ミック (Mick),旗標科技股份有限公司,9789863124498,https://s.eslite.dev/Upload/Product/201806/l/636637845219791250.jpg
最新SQL語法範例字典,https://www.eslite.com/product/1001113882642124,朝井淳,旗標科技股份有限公司,9789863124955,https://s.eslite.dev/Upload/Product/201712/l/636477142981190000.jpg
新SQL基礎講座 (增訂2版),https://www.eslite.com/product/1001120321766470,小野哲/ 藤本亮,博碩文化股份有限公司,9789862010983,https://s.eslite.dev/upload/product/l/2680329078003/ec269169.jpg
SQL之美學,https://www.eslite.com/product/1001133101663645,"Robson, Peter/ Faroult, Stephane",美商歐萊禮股份有限公司台灣分公司,9789867794901,0
SQL學習手冊,https://www.eslite.com/product/1001133101595243,"Beaulieu, Alan",美商歐萊禮股份有限公司台灣分公司,9789867794819,0
SQL Server 2019 /2017資料庫設計與開發實務,https://www.eslite.com/product/1001113692839064,陳會安,碁峰資訊股份有限公司,9789865024727,https://s.eslite.dev/upload/product/l/2681871079005/20200414033019290198.jpg
資料庫系統理論與應用: 使用SQL Server+Access (附範例光碟),https://www.eslite.com/product/1001122982843282,陳會安,全華圖書股份有限公司,9789865033644,https://s.eslite.dev/upload/product/l/2681877772009/20200501034913039281.jpg
優化SQL: 語法與資料庫的最佳化應用,https://www.eslite.com/product/1001113692802224,羅炳森/ 黃超/ 鐘僥,碁峰資訊股份有限公司,9789865023065,https://s.eslite.dev/Upload/Product/201910/l/637068983873012500.jpg
SQL達人的工作現場攻略筆記,https://www.eslite.com/product/1001113692798302,ミック,碁峰資訊股份有限公司,9789865022730,https://s.eslite.dev/Upload/Product/201910/l/637056886416702500.jpg
資料庫系統理論與實務: 使用SQL Server 2016 (第2版),https://www.eslite.com/product/1001299212690880,李紹綸,上奇資訊,9789865002183,https://s.eslite.dev/upload/product/l/2681599671000/798403.jpg
SQL Server 2017/2016資料庫設計與開發實務,https://www.eslite.com/product/1001113692677186,陳會安,碁峰資訊股份有限公司,9789864767816,https://s.eslite.dev/Upload/Product/201805/l/636617110081116764.jpg
大數據分析之資料庫理論與實務 (SQL Server 2017版),https://www.eslite.com/product/1001121992668831,曾守正/ 周韻寰,華泰文化事業股份有限公司,9789574353583,https://s.eslite.dev/upload/product/l/2681568306001/773834.jpg
資料庫系統理論與實務: 使用SQL Server 2012 (第2版/附光碟),https://www.eslite.com/product/1001299212614505,李紹綸,上奇資訊,9789869515627,https://s.eslite.dev/Upload/Product/201708/l/636373460573606250.jpg
SQL Server資料採礦與商業智慧: 適用SQL Server 2016/ 2014 (第2版),https://www.eslite.com/product/1001113692567423,謝邦昌,碁峰資訊股份有限公司,9789864762873,https://s.eslite.dev/upload/product/l/2681418705008/ec1246483.jpg
